"","X1","K_beta","Mean_C1","Mean_C2","N","N_C1","N_C2","N_Tail","pi_C1","pi_C2","pi_Tail","rcc_C1","rcc_C2","rcc_Tail","Scale_Tail","Shape_Tail","tail","Variance_C1","Variance_C2","coverage","K_B","K_BB","karyotype","sample","samplename","Mean_C3","N_C3","pi_C3","rcc_C3","Variance_C3","Mean_Tail","Variance_Tail","purity","ploidy","purity_conf_mad","wgd_status","wgd_uncertain"
"3675",3675,3,0.673169477267387,0.5,635,484,29,0,0.724087478333915,0.045669291338582,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.0139174221024376,3.08148791101958e-33,25,3,0,"1:0","70c2f91e-c622-11e3-bf01-24c6515278c0","70c2f91e-c622-11e3-bf01-24c6515278c0",0.326381792023948,122,0.230243230327503,FALSE,0.0283658232653593,NA,NA,0.694,1.924,0.014,"no_wgd",FALSE
"3676",3676,1,0.326506174918601,NA,8907,8907,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0110683716605343,NA,39,1,0,"1:1","70c2f91e-c622-11e3-bf01-24c6515278c0","70c2f91e-c622-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,NA,NA,0.694,1.924,0.014,"no_wgd",FALSE
"3677",3677,3,0.55351846890845,0.284658980746051,514,173,278,0,0.338253144509925,0.535394778852308,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.00389493341364916,0.00305564733737885,87,3,0,"2:1","70c2f91e-c622-11e3-bf01-24c6515278c0","70c2f91e-c622-11e3-bf01-24c6515278c0",0.102029037685557,63,0.126352076637767,TRUE,0.00112161501492498,NA,NA,0.694,1.924,0.014,"no_wgd",FALSE
"3678",3678,1,0.668932541783897,NA,313,257,NA,56,0.812825090160135,NA,0.187174909839865,TRUE,NA,TRUE,0.062499999,0.823513154595887,TRUE,0.00701463215944238,NA,35,1,0,"2:0","70c2f91e-c622-11e3-bf01-24c6515278c0","70c2f91e-c622-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,Inf,Inf,0.694,1.924,0.014,"no_wgd",FALSE
"3679",3679,1,0.357301399688958,NA,643,643,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0201556253013068,NA,50,2,0,"2:1","70dd8453-11d3-4105-a8d0-6a755c52495d","70dd8453-11d3-4105-a8d0-6a755c52495d",NA,NA,NA,NA,NA,NA,NA,0.649,3.526,0.014,"wgd",FALSE
"3680",3680,1,0.663328919502274,NA,479,407,NA,72,0.839543477301919,NA,0.160456522698081,TRUE,NA,TRUE,0.066699999,0.871675884274221,TRUE,0.00639169237744776,NA,36,1,0,"2:0","70dd8453-11d3-4105-a8d0-6a755c52495d","70dd8453-11d3-4105-a8d0-6a755c52495d",NA,NA,NA,NA,NA,Inf,Inf,0.649,3.526,0.014,"wgd",FALSE
"3681",3681,1,0.394173502859327,NA,3314,3030,NA,284,0.901666932304378,NA,0.0983330676956218,TRUE,NA,TRUE,0.054099999,0.980827596798229,TRUE,0.00442604391441805,NA,60,1,0,"2:2","70dd8453-11d3-4105-a8d0-6a755c52495d","70dd8453-11d3-4105-a8d0-6a755c52495d",NA,NA,NA,NA,NA,Inf,Inf,0.649,3.526,0.014,"wgd",FALSE
"3682",3682,1,0.20619673090609,NA,7947,7947,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00588202944138685,NA,53,1,0,"1:0","7116cc90-f465-4e7e-aa27-48a83ed258e9","7116cc90-f465-4e7e-aa27-48a83ed258e9",NA,NA,NA,NA,NA,NA,NA,0.32,1.938,0.005,"no_wgd",TRUE
"3683",3683,1,0.164007342275212,NA,10065,10065,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00278927773148588,NA,65,1,0,"1:1","7116cc90-f465-4e7e-aa27-48a83ed258e9","7116cc90-f465-4e7e-aa27-48a83ed258e9",NA,NA,NA,NA,NA,NA,NA,0.32,1.938,0.005,"no_wgd",TRUE
"3684",3684,2,0.292922019754211,0.138587755587474,4965,753,4212,0,0.129457795021101,0.870542204978899,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.00197702210675013,0.0016646362792014,75,2,0,"2:1","7116cc90-f465-4e7e-aa27-48a83ed258e9","7116cc90-f465-4e7e-aa27-48a83ed258e9",NA,NA,NA,NA,NA,NA,NA,0.32,1.938,0.005,"no_wgd",TRUE
"3685",3685,1,0.186499730054431,NA,176,176,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0069620155956274,NA,66,2,0,"2:0","7116cc90-f465-4e7e-aa27-48a83ed258e9","7116cc90-f465-4e7e-aa27-48a83ed258e9",NA,NA,NA,NA,NA,NA,NA,0.32,1.938,0.005,"no_wgd",TRUE
"3686",3686,1,0.723938015361415,NA,4348,4235,NA,113,0.972086124062627,NA,0.0279138759373735,TRUE,NA,TRUE,0.076899999,1.05260350862579,TRUE,0.0112950970970207,NA,33,1,0,"1:0","7117854b-6f0a-4a43-b66c-506a3e29377d","7117854b-6f0a-4a43-b66c-506a3e29377d",NA,NA,NA,NA,NA,1.53877965320817,Inf,0.8,2.219,0.015,"no_wgd",FALSE
"3687",3687,1,0.400213572510653,NA,23757,23261,NA,496,0.974308900723546,NA,0.0256910992764541,TRUE,NA,TRUE,0.050499999,0.847216280203479,TRUE,0.00467381508641759,NA,61,1,0,"1:1","7117854b-6f0a-4a43-b66c-506a3e29377d","7117854b-6f0a-4a43-b66c-506a3e29377d",NA,NA,NA,NA,NA,Inf,Inf,0.8,2.219,0.015,"no_wgd",FALSE
"3688",3688,2,0.577784285554126,0.279265762894393,12078,5237,6583,258,0.431106397066712,0.538029045784324,0.0308645571489638,TRUE,FALSE,FALSE,0.051299999,1.01724340048247,TRUE,0.00354648999078538,0.00379536636085229,82,2,0,"2:1","7117854b-6f0a-4a43-b66c-506a3e29377d","7117854b-6f0a-4a43-b66c-506a3e29377d",NA,NA,NA,NA,NA,3.02635118174895,Inf,0.8,2.219,0.015,"no_wgd",FALSE
"3689",3689,3,0.779849910365624,0.466618402528213,2300,2136,63,0,0.914006878816401,0.0506909181915231,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.00350961187234384,0.0809088163613956,56,2,0,"2:0","7117854b-6f0a-4a43-b66c-506a3e29377d","7117854b-6f0a-4a43-b66c-506a3e29377d",0.41087662550663,101,0.035302202992076,FALSE,0.00296159958201283,NA,NA,0.8,2.219,0.015,"no_wgd",FALSE
"3690",3690,2,0.443013200093642,0.222478847837995,2062,1752,310,0,0.860535046816982,0.139464953183018,0,TRUE,FALSE,FALSE,NA,NA,FALSE,0.00250945061781946,0.00179047333779475,107,2,0,"2:2","7117854b-6f0a-4a43-b66c-506a3e29377d","7117854b-6f0a-4a43-b66c-506a3e29377d",NA,NA,NA,NA,NA,NA,NA,0.8,2.219,0.015,"no_wgd",FALSE
"3691",3691,1,0.324169038020811,NA,3861,3619,NA,242,0.925273464201331,NA,0.0747265357986692,TRUE,NA,TRUE,0.050299999,1.08663182469199,TRUE,0.00418819801049483,NA,56,1,0,"1:1","712ba532-fb1a-43fa-a356-b446b509ceb7","712ba532-fb1a-43fa-a356-b446b509ceb7",NA,NA,NA,NA,NA,0.630918024521665,Inf,0.653,2,0.008,"no_wgd",FALSE
"3692",3692,1,0.222719941348974,NA,341,341,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00546084300410213,NA,22,1,0,"1:0","712e5f3c-c623-11e3-bf01-24c6515278c0","712e5f3c-c623-11e3-bf01-24c6515278c0",NA,NA,NA,NA,NA,NA,NA,0.253,1.997,0.009,"no_wgd",FALSE
