K_beta,Mean_C1,Mean_C2,N,N_C1,N_C2,N_Tail,pi_C1,pi_C2,pi_Tail,rcc_C1,rcc_C2,rcc_Tail,Scale_Tail,Shape_Tail,tail,Variance_C1,Variance_C2,score,samplename,karyotype,Mean_C3,N_C3,pi_C3,rcc_C3,Variance_C3,Mean_Tail,Variance_Tail
1,0.39408037578288124,NA,1916,1916,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.027467642099232546,NA,reICL,0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.18163962898295957,NA,1569,1569,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00539726074825146,NA,reICL,0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,1:1,NA,NA,NA,NA,NA,NA,NA
1,0.19887488292338526,NA,10114,10114,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.0074619765557381165,NA,reICL,0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,2:1,NA,NA,NA,NA,NA,NA,NA
1,0.2907483432263709,NA,8865,8352,NA,513,0.9205105867871246,NA,0.07948941321287538,TRUE,NA,TRUE,0.051299999,1.189189782324621,TRUE,0.0074476779271684815,NA,reICL,0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,2:0,NA,NA,NA,NA,NA,0.3224562864573057,Inf
1,0.22170972304424677,NA,6463,5933,NA,530,0.8906944704368086,NA,0.10930552956319145,TRUE,NA,TRUE,0.050599999,1.5076656924962883,TRUE,0.004333106264014734,NA,reICL,0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,2:2,NA,NA,NA,NA,NA,0.150271888883262,Inf
1,0.607864347425559,NA,356,280,NA,76,0.7754269929616784,NA,0.22457300703832161,TRUE,NA,TRUE,0.076899999,1.4247205275112778,TRUE,0.014245316894779194,NA,reICL,0e6ca8dc-0f31-4675-95b1-5920576daeff,1:0,NA,NA,NA,NA,NA,0.25796023512894023,Inf
1,0.34489288496852794,NA,4152,3549,NA,603,0.8367616399371168,NA,0.16323836006288317,TRUE,NA,TRUE,0.051299999,1.2957450068093148,TRUE,0.0038573698076437304,NA,reICL,0e6ca8dc-0f31-4675-95b1-5920576daeff,1:1,NA,NA,NA,NA,NA,0.22476023609227422,Inf
2,0.5112572249132129,0.2556866498011122,997,148,715,134,0.14409485736043287,0.6931310669952672,0.1627740756443,FALSE,TRUE,FALSE,0.050499999000000004,1.5448822488112868,TRUE,0.0023805189202824976,0.002474904694224498,reICL,0e6ca8dc-0f31-4675-95b1-5920576daeff,2:1,NA,NA,NA,NA,NA,0.14318057193143727,Inf
2,0.4690205773366997,0.22107658679627867,377,78,207,92,0.19926910243705603,0.5157218330058012,0.2850090645571427,TRUE,TRUE,FALSE,0.050599999,1.7932421598620572,TRUE,0.0031432150120600483,0.0028309820029103557,reICL,0e7ac212-0469-4f17-9432-205ab1831257,2:1,NA,NA,NA,NA,NA,0.11438884124812157,Inf
2,0.6208245103692525,0.28350216640723286,813,206,403,204,0.24304536854901848,0.46222398914844914,0.2947306423025324,TRUE,FALSE,FALSE,0.050599999,1.1702708424754158,TRUE,0.00760092549054916,0.007399474975364745,reICL,0e7ac212-0469-4f17-9432-205ab1831257,2:0,NA,NA,NA,NA,NA,0.347773597628936,Inf
2,0.3787112766722529,0.17421300944799661,2009,555,1099,355,0.26631251813995815,0.5253223464329547,0.20836513542708726,TRUE,TRUE,FALSE,0.050399999,2.0759061104345915,TRUE,0.002667000202020187,0.002785272096855316,reICL,0e7ac212-0469-4f17-9432-205ab1831257,2:2,NA,NA,NA,NA,NA,0.09724423430194647,0.06001271527834818
2,0.6275229386129678,0.1835903604310132,1096,196,900,0,0.18961883266648905,0.8103811673335108,0,FALSE,TRUE,FALSE,NA,NA,FALSE,0.03608880622184637,0.005019026515640509,reICL,0e872e0d-4711-4364-a5d0-6beeb6fd3ff2,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.22055756358110512,NA,440,440,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.011161866569599142,NA,reICL,0e872e0d-4711-4364-a5d0-6beeb6fd3ff2,2:1,NA,NA,NA,NA,NA,NA,NA
3,0.6122994253309296,0.43514849985333837,676,76,23,0,0.13176300367190735,0.028995269051903052,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.02953137610473211,6.743099851748031e-4,reICL,0e872e0d-4711-4364-a5d0-6beeb6fd3ff2,2:0,0.21635361290196453,577,0.8392417272761896,TRUE,0.0074512380989099685,NA,NA
1,0.1842007475529719,NA,7583,7583,NA,0,1,NA,0,TRUE,NA,TRUE,NA,NA,FALSE,0.00782583907440469,NA,reICL,0e872e0d-4711-4364-a5d0-6beeb6fd3ff2,2:2,NA,NA,NA,NA,NA,NA,NA
2,0.32322356932652024,0.10284743080039872,130,67,63,0,0.5305433825515825,0.46945661744841755,0,TRUE,TRUE,FALSE,NA,NA,FALSE,0.010868510163003569,7.275698893066013e-4,reICL,0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169,1:0,NA,NA,NA,NA,NA,NA,NA
1,0.18892418196667532,NA,1919,1444,NA,475,0.713279819454271,NA,0.28672018054572895,TRUE,NA,TRUE,0.050599999,1.827487895197408,TRUE,0.002730649741525551,NA,reICL,0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169,1:1,NA,NA,NA,NA,NA,0.11174892854165658,Inf
2,0.7504867916060156,0.22574670468027122,122,109,13,0,0.8934275109275205,0.10657248907247951,0,FALSE,FALSE,FALSE,NA,NA,FALSE,0.00782468242764653,0.004784078976309995,reICL,0ed63d84-d3fe-4289-9255-35f4a03b703b,1:0,NA,NA,NA,NA,NA,NA,NA
